"filename", "language", "JSON", "JavaScript", "Properties", "Markdown", "Solidity", "comment", "blank", "total"
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\.env", "Properties", 0, 0, 10, 0, 0, 0, 0, 10
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\.soliumrc.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 20
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\README.md", "Markdown", 0, 0, 0, 60, 0, 0, 26, 86
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\AuthManager.sol", "Solidity", 0, 0, 0, 0, 79, 39, 22, 140
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\DepositStaking.sol", "Solidity", 0, 0, 0, 0, 190, 86, 34, 310
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\InactivityCover.sol", "Solidity", 0, 0, 0, 0, 604, 339, 82, 1025
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\Migrations.sol", "Solidity", 0, 0, 0, 0, 14, 1, 5, 20
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\Oracle.sol", "Solidity", 0, 0, 0, 0, 165, 60, 27, 252
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\OracleMaster.sol", "Solidity", 0, 0, 0, 0, 317, 183, 57, 557
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\InactivityCover.json", "JSON", 25776, 0, 0, 0, 0, 0, 0, 25776
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\InactivityCover_metadata.json", "JSON", 1189, 0, 0, 0, 0, 0, 0, 1189
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\OracleMaster.json", "JSON", 17617, 0, 0, 0, 0, 0, 0, 17617
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\OracleMaster_metadata.json", "JSON", 612, 0, 0, 0, 0, 0, 0, 612
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\build-info\2d4b0113d4e685239bccf31926e7d90b.json", "JSON", 219816, 0, 0, 0, 0, 0, 0, 219816
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\build-info\403c9f1bcf3ade99994a12c700423f77.json", "JSON", 219816, 0, 0, 0, 0, 0, 0, 219816
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\build-info\53c75466a0d2c84bf68ac70715555995.json", "JSON", 76688, 0, 0, 0, 0, 0, 0, 76688
"f:\PROJECTS\GITHUB PROJECTS\moonriver-delegator-cover-contract\contracts\artifacts\build-info\eb7e5de63a531f557a08555f261ffe51.json", "JSON", 219280, 0, 0, 0, 0, 0, 0, 219280
